id,date,latitude,longitude,timestamp,temp,feels_like,humidity,pressure,wind_speed,wind_deg,wind_gust,clouds_all,rain_1h,snow_1h,elevation,errors
2177,15-03-2024,33.6914,-95.6061,1710478800,17.33,17.68,98,1011,4.12,10,0,100,0.47,0,152,[]
2178,15-03-2024,32.79,-94.33,1710478800,21.91,22.4,86,1012,1.73,62,0,100,0,0,63,[]
2179,15-03-2024,32.91,-94.12,1710478800,21.82,22.3,86,1012,1.63,63,0,100,0,0,69,[]
2180,15-03-2024,32.8,-94.17,1710478800,21.81,22.29,86,1012,1.73,62,0,100,0,0,66,[]
2181,08-04-2024,32.55,-94.39,1712552400,17.85,18.15,94,1012,0,0,0,20,0,0,138,[]
2182,08-04-2024,33.13,-97.45,1712552400,14.19,13.1,55,1010,0.45,138,0.89,66,0,0,254,[]
2183,09-04-2024,33.13,-97.45,1712638800,18.14,18.54,97,1008,5.66,80,0,100,37.34,0,254,[]
2184,09-04-2024,32.38,-94.16,1712638800,19.25,19.66,93,1012,5.42,96,0,100,5.67,0,107,[]
2185,09-04-2024,32.25,-95.24,1712638800,18.73,19.19,97,1009,6.69,100,0,100,10.41,0,160,[]
2186,09-04-2024,31.8107,-96.1791,1712638800,19.91,20.44,95,1009,2.06,359,0,100,5.12,0,118,[]
2187,09-04-2024,32.36,-94.84,1712638800,19.61,20.05,93,1010,5.28,100,0,100,4.44,0,112,[]
2188,09-04-2024,32.39,-94.11,1712638800,19.24,19.65,93,1012,5.13,93,0,100,6.23,0,110,[]
2189,09-04-2024,31.2963,-97.3581,1712638800,22,21.51,48,1008,4.12,140,0,100,0,0,237,[]
2190,09-04-2024,31.551,-96.8445,1712638800,20.33,20.93,96,1008,1.8,41,0,100,3.09,0,166,[]
2191,09-04-2024,31.2619,-97.4049,1712638800,20.61,20.35,62,1008,4.12,140,0,100,0,0,204,[]
2192,09-04-2024,31.06,-97.44,1712638800,21.78,22.49,95,1008,4.12,140,0,100,0,0,155,[]
2193,09-04-2024,31.68,-96.39,1712638800,20.54,21.13,95,1009,4.02,116,5.81,100,5.54,0,160,[]
2194,09-04-2024,31.4562,-96.808,1712638800,21.18,21.86,96,1008,1.8,41,0,100,3.09,0,137,[]
2195,09-04-2024,32.0684,-95.4953,1712638800,19.38,19.83,94,1009,2.82,137,0,100,6.41,0,145,[]
2196,09-04-2024,32.09,-94.93,1712638800,19.56,20.03,94,1009,6.17,80,7.72,100,3.81,0,143,[]
2197,09-04-2024,31.79,-94.11,1712638800,19.59,20.06,94,1011,5.66,110,8.75,100,2.03,0,83,[]
2198,09-04-2024,31.1349,-97.3709,1712638800,21.83,22.65,99,1008,4.12,140,0,100,0,0,226,[]
2199,10-04-2024,30.6676,-93.9307,1712725200,19.75,20.29,96,1006,1.88,92,0,100,4.27,0,42,[]
2200,10-04-2024,30.3739,-94.6094,1712725200,19.66,20.21,97,1005,3.99,137,0,98,12.6,0,52,[]
2201,10-04-2024,30.6355,-93.8182,1712725200,19.86,20.43,97,1006,0.96,59,0,100,8.94,0,45,[]
2202,10-04-2024,30.5179,-94.4428,1712725200,19.73,20.29,97,1005,2.75,128,0,100,13.09,0,35,[]
2203,10-04-2024,30.5919,-93.8738,1712725200,19.77,20.34,97,1005,1.17,331,0,100,3.32,0,40,[]
2204,10-04-2024,30.8735,-93.8392,1712725200,19.12,19.7,100,1006,2.06,0,6.69,100,8.94,0,94,[]
2205,10-04-2024,32.4752,-96.8272,1712725200,17.26,17.44,92,1007,3.6,50,0,100,0,0,188,[]
2206,10-04-2024,32.7402,-96.6763,1712725200,17.53,17.74,92,1008,4.63,60,0,100,0,0,156,[]
2207,10-04-2024,32.91,-96.55,1712725200,17.44,17.64,92,1008,4.02,262,5.36,100,0.11,0,144,[]
2208,20-04-2024,32.4012,-100.9594,1713589200,15.24,14.41,61,1019,4.51,71,0,100,0,0,676,[]
2209,20-04-2024,32.4077,-101.528,1713589200,14,13.13,64,1018,4.57,74,0,93,0,0,821,[]
2210,20-04-2024,32.97,-97.25,1713589200,17.13,16.75,71,1019,5.14,30,0,100,0,0,213,[]
2211,20-04-2024,33.07,-97.4,1713589200,16.61,16.28,75,1019,5.14,30,0,100,0,0,256,[]
2212,26-04-2024,32.062,-96.8632,1714107600,23.55,24.15,84,1009,8.3,164,0,100,0,0,163,[]
2213,26-04-2024,31.1,-98.6,1714107600,22.99,23.54,84,1008,7.97,165,0,100,0,0,422,[]
2214,26-04-2024,32.7471,-96.3111,1714107600,23,23.55,84,1009,6.69,160,11.32,100,0,0,156,[]
2215,26-04-2024,32.5838,-96.314,1714107600,23.16,23.7,83,1010,6.69,160,11.32,100,0,0,146,[]
2216,26-04-2024,32.5923,-96.3231,1714107600,23.27,23.82,83,1010,6.69,160,11.32,100,0,0,117,[]
2217,26-04-2024,32.6769,-95.718,1714107600,23.43,24.1,87,1010,6.16,162,0,100,0,0,141,[]
2218,26-04-2024,32.89,-95.26,1714107600,22.95,23.55,86,1011,5.5,162,0,100,0,0,145,[]
2219,26-04-2024,32.98,-95.27,1714107600,22.85,23.44,86,1011,5.5,162,0,100,0,0,168,[]
2220,26-04-2024,33.14,-94.97,1714107600,22.64,23.41,94,1011,3.6,150,0,100,0,0,131,[]
2221,26-04-2024,33.15,-94.97,1714107600,22.69,23.47,94,1011,3.6,150,0,100,0,0,115,[]
2222,27-04-2024,33.4123,-99.8262,1714194000,21.11,20.58,50,1003,5.68,164,0,0,0,0,469,[]
2223,27-04-2024,33.18,-99.85,1714194000,21.27,20.91,56,1003,5.97,160,0,0,0,0,508,[]
2224,27-04-2024,33.1186,-100.2019,1714194000,20.78,19.96,40,1003,4.15,175,0,0,0,0,526,[]
2225,28-04-2024,32.6077,-97.3539,1714280400,22.91,23.55,88,1006,7.72,150,11.32,100,0.42,0,236,[]
2226,28-04-2024,32.6341,-97.2955,1714280400,23.39,24,85,1005,7.72,150,11.32,100,0.25,0,207,[]
2227,28-04-2024,32.8102,-96.8361,1714280400,24.44,25.05,81,1006,10.29,160,16.98,100,0,0,136,[]
2228,28-04-2024,32.7906,-97.2833,1714280400,23.9,24.59,86,1005,7.72,160,13.89,100,0.25,0,177,[]
2229,28-04-2024,32.01,-97.13,1714280400,23.43,24,83,1006,8.23,160,11.32,100,0.25,0,193,[]
2230,28-04-2024,32.7471,-96.3111,1714280400,24.04,24.54,78,1007,8.23,150,16.46,100,0,0,156,[]
2231,28-04-2024,32.5986,-96.2849,1714280400,24.25,24.71,76,1007,8.23,150,16.46,100,2.4,0,134,[]
2232,28-04-2024,31.1056,-97.3568,1714280400,24.3,24.74,75,1007,10.29,150,13.89,100,0.15,0,212,[]
